Feature,Importance
glucose_tolerance_Diabetes,3.661640037607736
glucose_tolerance_Prediabetes,2.717268152266188
hba1c_level,2.54318928099967
glucose_tolerance_Normal,2.126288821992959
blood_glucose_level,1.032387053168614
age_group_<30,0.9543082513029207
gender_Female,0.7242994326774405
smoking_history_Unknown,0.7149567295418433
age,0.5854926648296908
bmi,0.551389765159496
age_group_30-45,0.46751614017497833
gender_Male,0.42041310259370457
bmi_category_Over,0.37565879499054877
bmi_category_Normal,0.3582698290518522
bmi_category_Under,0.26272029430857213
age_group_60+,0.249624626987674
hypertension,0.19084705705720342
bmi_category_Obese,0.18526801830046705
smoking_history_Not current,0.16574842052385924
heart_disease,0.1421878566486109
smoking_history_Never,0.130412599464714
smoking_history_Former,0.10810258497954264
smoking_history_Current,0.03751000171818378
gender_Other,0.037204401380291206
smoking_history_Ever,0.025186600423296773
age_group_46-60,0.009717172161211193
